   6.72300863      0.904826880      0.425779611       831.314880
   6.78584051      0.876306474      0.481754005       885.223816
   6.84867239      0.844327688      0.535827160       942.628662
   6.91150427      0.809016764      0.587785602       1003.75604
   6.97433615      0.770512938      0.637424350       1068.84741
   7.03716803      0.728968322      0.684547484       1138.15979
   7.09999990      0.684546709      0.728968978       1211.96692
   7.16283178      0.637423575      0.770513594       1290.56030
   7.22566366      0.587784827      0.809017301       1374.25037
   7.28849554      0.535826325      0.844328225       1463.36743
   7.35132742      0.481753141      0.876306951       1558.26367
   7.41415882      0.425779134      0.904827118       1659.31274
   7.47699070      0.368124396      0.929776549       1766.91553
   7.53982258      0.309016794      0.951056600       1881.49622
   7.60265446      0.248689666      0.968583226       2003.50708
   7.66548634      0.187381059      0.982287288       2133.43018
   7.72831821      0.125332952      0.992114723       2271.77832
   7.79115009       6.27902076E-02  0.998026729       2419.09814
   7.85398197      -3.37766238E-07   1.00000000       2575.97144
   7.91681385      -6.27908856E-02  0.998026729       2743.01733
   7.97964573     -0.125333622      0.992114663       2920.89600
   8.04247761     -0.187381715      0.982287169       3110.30981
   8.10530949     -0.248690307      0.968583047       3312.00659
   8.16814137     -0.309017450      0.951056361       3526.78296
   8.23097324     -0.368125021      0.929776311       3755.48706
   8.29380512     -0.425779760      0.904826820       3999.02197
   8.35663700     -0.481754154      0.876306415       4258.34961
   8.41946888     -0.535827279      0.844327629       4534.49463
   8.48230076     -0.587785721      0.809016645       4828.54639
   8.54513264     -0.637424469      0.770512819       5141.66699
   8.60796452     -0.684547603      0.728968203       5475.09277
   8.67079639     -0.728969097      0.684546590       5830.14062
   8.73362827     -0.770513713      0.637423456       6208.21240
   8.79646015     -0.809017420      0.587784648       6610.80127
   8.85929203     -0.844328344      0.535826147       7039.49707
   8.92212391     -0.876307070      0.481752992       7495.99316
   8.98495579     -0.904827416      0.425778568       7982.09180
   9.04778767     -0.929776788      0.368123800       8499.71289
   9.11061954     -0.951056778      0.309016198       9050.90039
   9.17345142     -0.968583405      0.248689041       9637.83203
   9.23628330     -0.982287407      0.187380433       10262.8242
   9.29911518     -0.992114842      0.125332311       10928.3457
   9.36194706     -0.998026788       6.27895668E-02   11637.0244
   9.42477798      -1.00000000      -2.38497613E-08   12391.6484
   9.48760986     -0.998026729      -6.27905652E-02   13195.2188
   9.55044174     -0.992114663     -0.125333309       14050.9004
   9.61327362     -0.982287228     -0.187381417       14962.0703
   9.67610550     -0.968583107     -0.248690009       15932.3271
   9.73893738     -0.951056480     -0.309017152       16965.5039
   9.80176926     -0.929776430     -0.368124723       18065.6797
   9.86460114     -0.904826939     -0.425779462       19237.1992
   9.92743301     -0.876306593     -0.481753886       20484.6895
   9.99026489     -0.844327807     -0.535826981       21813.0762
   10.0530968     -0.809016824     -0.587785482       23227.6055
   10.1159286     -0.770513058     -0.637424231       24733.8652
   10.1787605     -0.728968382     -0.684547365       26337.8027
   10.2415924     -0.684546828     -0.728968859       28045.7500
   10.3044243     -0.637423694     -0.770513475       29864.4551
   10.3672562     -0.587784946     -0.809017241       31801.0996
   10.4300880     -0.535826445     -0.844328165       33863.3320
   10.4929199     -0.481753260     -0.876306891       36059.2930
   10.5557518     -0.425778866     -0.904827237       38397.6602
   10.6185837     -0.368124068     -0.929776669       40887.6641
   10.6814156     -0.309016496     -0.951056659       43539.1406
   10.7442474     -0.248689339     -0.968583286       46362.5547
   10.8070793     -0.187380731     -0.982287347       49369.0664
   10.8699112     -0.125332624     -0.992114782       52570.5430
   10.9327431      -6.27898797E-02 -0.998026788       55979.6250
   10.9955750       6.63607580E-07  -1.00000000       59609.7812
   11.0584068       6.27912059E-02 -0.998026669       63475.3438
   11.1212387      0.125333950     -0.992114604       67591.5781
   11.1840706      0.187382042     -0.982287109       71974.7422
   11.2469025      0.248690635     -0.968582988       76642.1484
   11.3097343      0.309017748     -0.951056242       81612.2266
   11.3725662      0.368125319     -0.929776192       86904.6016
   11.4353981      0.425780058     -0.904826701       92540.1719
   11.4982300      0.481754422     -0.876306236       98541.1953
   11.5610619      0.535827577     -0.844327450       104931.375
   11.6238937      0.587786019     -0.809016466       111735.945
   11.6867256      0.637424707     -0.770512640       118981.773
   11.7495575      0.684547842     -0.728967965       126697.484
   11.8123894      0.728969336     -0.684546351       134913.531
   11.8752213      0.770513892     -0.637423217       143662.375
   11.9380531      0.809017599     -0.587784410       152978.578
   12.0008850      0.844328523     -0.535825908       162898.891
   12.0637169      0.876307189     -0.481752723       173462.531
   12.1265478      0.904827118     -0.425779134       184711.016
   12.1893797      0.929776549     -0.368124366       196689.125
   12.2522116      0.951056600     -0.309016794       209443.984
   12.3150434      0.968583226     -0.248689651       223025.953
   12.3778753      0.982287288     -0.187381044       237488.703
   12.4407072      0.992114723     -0.125332937       252889.328
   12.5035391      0.998026729      -6.27901927E-02   269288.625
   12.5663710       1.00000000       3.49691106E-07   286751.406    
