   i   x noeuds       y noeuds       x centre Vol       y centre Vol    Vitesse x       Vitesse y    x ctr faces horiz    y ctr faces horiz
  43  -0.378788E-03   -0.378788E-03   -0.353535E-03   -0.353535E-03    0.114557E-01   -0.114557E-01   -0.353535E-03   -0.378788E-03
  44  -0.328283E-03   -0.328283E-03   -0.303030E-03   -0.303030E-03    0.100233E-01   -0.100233E-01   -0.303030E-03   -0.328283E-03
  45  -0.277778E-03   -0.277778E-03   -0.252525E-03   -0.252525E-03    0.855050E-02   -0.855050E-02   -0.252525E-03   -0.277778E-03
  46  -0.227273E-03   -0.227273E-03   -0.202020E-03   -0.202020E-03    0.704331E-02   -0.704331E-02   -0.202020E-03   -0.227273E-03
  47  -0.176768E-03   -0.176768E-03   -0.151515E-03   -0.151515E-03    0.550776E-02   -0.550776E-02   -0.151515E-03   -0.176768E-03
  48  -0.126263E-03   -0.126263E-03   -0.101010E-03   -0.101010E-03    0.395003E-02   -0.395003E-02   -0.101010E-03   -0.126263E-03
  49  -0.757576E-04   -0.757576E-04   -0.505051E-04   -0.505051E-04    0.237640E-02   -0.237640E-02   -0.505051E-04   -0.757576E-04
  50  -0.252525E-04   -0.252525E-04   -0.330682E-17   -0.330682E-17    0.793198E-03   -0.793198E-03   -0.330682E-17   -0.252525E-04
  51   0.252525E-04    0.252525E-04    0.505051E-04    0.505051E-04   -0.793198E-03    0.793198E-03    0.505051E-04    0.252525E-04
  52   0.757576E-04    0.757576E-04    0.101010E-03    0.101010E-03   -0.237640E-02    0.237640E-02    0.101010E-03    0.757576E-04
  53   0.126263E-03    0.126263E-03    0.151515E-03    0.151515E-03   -0.395003E-02    0.395003E-02    0.151515E-03    0.126263E-03
  54   0.176768E-03    0.176768E-03    0.202020E-03    0.202020E-03   -0.550776E-02    0.550776E-02    0.202020E-03    0.176768E-03
  55   0.227273E-03    0.227273E-03    0.252525E-03    0.252525E-03   -0.704331E-02    0.704331E-02    0.252525E-03    0.227273E-03
  56   0.277778E-03    0.277778E-03    0.303030E-03    0.303030E-03   -0.855050E-02    0.855050E-02    0.303030E-03    0.277778E-03
  57   0.328283E-03    0.328283E-03    0.353535E-03    0.353535E-03   -0.100233E-01    0.100233E-01    0.353535E-03    0.328283E-03
  58   0.378788E-03    0.378788E-03    0.404040E-03    0.404040E-03   -0.114557E-01    0.114557E-01    0.404040E-03    0.378788E-03
  59   0.429293E-03    0.429293E-03    0.454545E-03    0.454545E-03   -0.128419E-01    0.128419E-01    0.454545E-03    0.429293E-03
  60   0.479798E-03    0.479798E-03    0.505051E-03    0.505051E-03   -0.141765E-01    0.141765E-01    0.505051E-03    0.479798E-03
  61   0.530303E-03    0.530303E-03    0.555556E-03    0.555556E-03   -0.154540E-01    0.154540E-01    0.555556E-03    0.530303E-03
  62   0.580808E-03    0.580808E-03    0.606061E-03    0.606061E-03   -0.166692E-01    0.166692E-01    0.606061E-03    0.580808E-03
  63   0.631313E-03    0.631313E-03    0.656566E-03    0.656566E-03   -0.178174E-01    0.178174E-01    0.656566E-03    0.631313E-03
  64   0.681818E-03    0.681818E-03    0.707071E-03    0.707071E-03   -0.188937E-01    0.188937E-01    0.707071E-03    0.681818E-03
  65   0.732323E-03    0.732323E-03    0.757576E-03    0.757576E-03   -0.198940E-01    0.198940E-01    0.757576E-03    0.732323E-03
  66   0.782828E-03    0.782828E-03    0.808081E-03    0.808081E-03   -0.208142E-01    0.208142E-01    0.808081E-03    0.782828E-03
  67   0.833333E-03    0.833333E-03    0.858586E-03    0.858586E-03   -0.216506E-01    0.216506E-01    0.858586E-03    0.833333E-03
  68   0.883838E-03    0.883838E-03    0.909091E-03    0.909091E-03   -0.223998E-01    0.223998E-01    0.909091E-03    0.883838E-03
  69   0.934343E-03    0.934343E-03    0.959596E-03    0.959596E-03   -0.230589E-01    0.230589E-01    0.959596E-03    0.934343E-03
  70   0.984848E-03    0.984848E-03    0.101010E-02    0.101010E-02   -0.236250E-01    0.236250E-01    0.101010E-02    0.984848E-03
  71   0.103535E-02    0.103535E-02    0.106061E-02    0.106061E-02   -0.240961E-01    0.240961E-01    0.106061E-02    0.103535E-02
  72   0.108586E-02    0.108586E-02    0.111111E-02    0.111111E-02   -0.244701E-01    0.244701E-01    0.111111E-02    0.108586E-02
  73   0.113636E-02    0.113636E-02    0.116162E-02    0.116162E-02   -0.247455E-01    0.247455E-01    0.116162E-02    0.113636E-02
  74   0.118687E-02    0.118687E-02    0.121212E-02    0.121212E-02   -0.249214E-01    0.249214E-01    0.121212E-02    0.118687E-02
  75   0.123737E-02    0.123737E-02    0.126263E-02    0.126263E-02   -0.249969E-01    0.249969E-01    0.126263E-02    0.123737E-02
  76   0.128788E-02    0.128788E-02    0.131313E-02    0.131313E-02   -0.249717E-01    0.249717E-01    0.131313E-02    0.128788E-02
  77   0.133838E-02    0.133838E-02    0.136364E-02    0.136364E-02   -0.248460E-01    0.248460E-01    0.136364E-02    0.133838E-02
  78   0.138889E-02    0.138889E-02    0.141414E-02    0.141414E-02   -0.246202E-01    0.246202E-01    0.141414E-02    0.138889E-02
  79   0.143939E-02    0.143939E-02    0.146465E-02    0.146465E-02   -0.242953E-01    0.242953E-01    0.146465E-02    0.143939E-02
  80   0.148990E-02    0.148990E-02    0.151515E-02    0.151515E-02   -0.238726E-01    0.238726E-01    0.151515E-02    0.148990E-02
  81   0.154040E-02    0.154040E-02    0.156566E-02    0.156566E-02   -0.233537E-01    0.233537E-01    0.156566E-02    0.154040E-02
  82   0.159091E-02    0.159091E-02    0.161616E-02    0.161616E-02   -0.227408E-01    0.227408E-01    0.161616E-02    0.159091E-02
