#  i        x        y        dy_analy      dy_num      erreur        log10(erreur)
  60   0.236000E+01   -0.352195E+00    0.360247E+00    0.359008E+00    0.344029E-02   -0.246340E+01
  61   0.240000E+01   -0.336436E+00    0.426385E+00    0.425003E+00    0.324248E-02   -0.248912E+01
  62   0.244000E+01   -0.318195E+00    0.484232E+00    0.482727E+00    0.310859E-02   -0.250744E+01
  63   0.248000E+01   -0.297818E+00    0.533051E+00    0.531445E+00    0.301248E-02   -0.252108E+01
  64   0.252000E+01   -0.275679E+00    0.572241E+00    0.570558E+00    0.294058E-02   -0.253157E+01
  65   0.256000E+01   -0.252174E+00    0.601339E+00    0.599604E+00    0.288511E-02   -0.253984E+01
  66   0.260000E+01   -0.227711E+00    0.620032E+00    0.618270E+00    0.284134E-02   -0.254648E+01
  67   0.264000E+01   -0.202712E+00    0.628161E+00    0.626398E+00    0.280618E-02   -0.255188E+01
  68   0.268000E+01   -0.177599E+00    0.625718E+00    0.623980E+00    0.277759E-02   -0.255633E+01
  69   0.272000E+01   -0.152793E+00    0.612852E+00    0.611164E+00    0.275411E-02   -0.256002E+01
  70   0.276000E+01   -0.128706E+00    0.589864E+00    0.588251E+00    0.273471E-02   -0.256309E+01
  71   0.280000E+01   -0.105733E+00    0.557202E+00    0.555687E+00    0.271865E-02   -0.256565E+01
  72   0.284000E+01   -0.842511E-01    0.515456E+00    0.514061E+00    0.270537E-02   -0.256777E+01
  73   0.288000E+01   -0.646085E-01    0.465346E+00    0.464092E+00    0.269444E-02   -0.256953E+01
  74   0.292000E+01   -0.471237E-01    0.407717E+00    0.406622E+00    0.268554E-02   -0.257097E+01
  75   0.296000E+01   -0.320787E-01    0.343522E+00    0.342602E+00    0.267843E-02   -0.257212E+01
  76   0.300000E+01   -0.197156E-01    0.273809E+00    0.273077E+00    0.267293E-02   -0.257301E+01
  77   0.304000E+01   -0.102326E-01    0.199707E+00    0.199174E+00    0.266890E-02   -0.257367E+01
  78   0.308000E+01   -0.378168E-02    0.122408E+00    0.122081E+00    0.266625E-02   -0.257410E+01
  79   0.312000E+01   -0.466062E-03    0.431518E-01    0.430368E-01    0.266491E-02   -0.257432E+01
  80   0.316000E+01   -0.338735E-03   -0.367939E-01   -0.366959E-01    0.266486E-02   -0.257433E+01
  81   0.320000E+01   -0.340173E-02   -0.116152E+00   -0.115842E+00    0.266609E-02   -0.257412E+01
  82   0.324000E+01   -0.960609E-02   -0.193652E+00   -0.193135E+00    0.266864E-02   -0.257371E+01
  83   0.328000E+01   -0.188526E-01   -0.268053E+00   -0.267337E+00    0.267256E-02   -0.257307E+01
  84   0.332000E+01   -0.309930E-01   -0.338158E+00   -0.337253E+00    0.267794E-02   -0.257220E+01
  85   0.336000E+01   -0.458328E-01   -0.402833E+00   -0.401751E+00    0.268491E-02   -0.257107E+01
  86   0.340000E+01   -0.631331E-01   -0.461021E+00   -0.459779E+00    0.269366E-02   -0.256966E+01
